Strategy,Mean P&L,P&L Std,MAE,RMSE,VaR 95%,CVaR 95%,Average Cost,Average Turnover,Worst P&L
Daily,-0.6333502387729872,0.4778503225104095,0.656657415893219,0.7933936322388164,1.5087199572657444,1.8508734504101325,0.6183182936319925,618.3182936319924,-4.104513840536482
Weekly,-0.3673241085731048,0.9647936068590887,0.775139129008589,1.0323534785020079,1.9919456775703888,2.6734217882163676,0.35456719771868345,354.5671977186835,-8.92036941064558
Monthly,-0.24416792590434913,1.9264265626200865,1.4619047884779097,1.9418386331538142,3.4744567564267475,4.83164760140045,0.23738223489875557,237.38223489875554,-14.957923932108828
Quarterly,-0.19549690132753283,3.2008195501201535,2.4641049453128954,3.206784188382507,5.671294270316524,7.936599668618658,0.1858921613013786,185.89216130137856,-33.95263410611083
