Strategy,Mean P&L,P&L Std,MAE,RMSE,VaR 95%,CVaR 95%,Average Cost,Average Turnover,Worst P&L
Black-Scholes delta,-0.37290248,0.9578758,0.7722253,1.027902,1.9981594,2.6540205,0.3546856,354.68555,-8.288799
Neural hedger,-0.34579122,0.9536512,0.7643911,1.0144073,1.9519173,2.5832133,0.34792084,347.92084,-7.9827623
