Strategy,Mean P&L,P&L Std,MAE,RMSE,VaR 95%,CVaR 95%,Worst P&L,Average Cost
Unhedged short call,-0.0762353531733693,248.44891183372263,196.2963887941938,248.448923529948,530.6558025846432,708.9198246181892,-1701.2012017219902,0.0
Black-76 delta,-0.07195064053742112,18.4865299866375,13.864114370860584,18.486670004127873,30.532728570211702,42.97311029817587,-137.15919761281666,0.0
Black-76 delta with costs,-9.007202254193732,18.9430766316544,15.806416418664865,20.975458152819538,41.484939661296416,54.786754682977055,-150.6159305060359,8.931478466962325
