Scenario,Strategy,Mean P&L,P&L Std,RMSE,VaR 95%,CVaR 95%,Average Cost,Worst P&L
Baseline,Daily delta,-0.6333502387729872,0.4778503225104095,0.7933936322388164,1.5087199572657444,1.8508734504101325,0.6183182936319925,-4.104513840536482
Baseline,No-trade band 0.02,-0.5468695418912404,0.5139224245112268,0.7504548982209608,1.4602059738916515,1.8002872915092267,0.5297183522298587,-3.923520447485341
Volatility 20% -> 40%,Daily delta,-5.35434143629919,3.475104431867636,6.383206328237915,11.628275884604447,13.182248734834412,0.7544304502176435,-21.531884948092003
Volatility 20% -> 40%,No-trade band 0.02,-5.277617225330188,3.44796869428813,6.304104353030088,11.531825502672525,13.08979580710558,0.6748400808967222,-21.340255569878977
20% mid-year crash,Daily delta,-4.952048056052342,1.8075928010245896,5.271638424983991,7.356072300583575,7.78626758442661,0.5318447996246144,-10.632247741829858
20% mid-year crash,No-trade band 0.02,-4.853728708748056,1.8194661300215293,5.18354505878174,7.306903474416896,7.7512684659562465,0.45269053607734067,-10.549100710563081
Jump diffusion,Daily delta,-4.0950937272152315,4.863858272922457,6.358215939534749,14.087190239900202,18.69009159219638,0.5631911492648953,-49.00559897856107
Jump diffusion,No-trade band 0.02,-4.017658525375143,4.838507483763344,6.2890964928957365,13.978252164836412,18.542098533836676,0.4818611912293688,-49.231267511260015
